image_id,class_name,split_A,width,height,laplacian_var,relative_path,path
IC4SD_EUC_000560,Eucalyptus cladocalyx,train,1280,1024,25.50744249693172,Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.6/3282.Eucalyptus cladocalyx.6 (141).png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.6/3282.Eucalyptus cladocalyx.6 (141).png
IC4SD_EUC_000559,Eucalyptus cladocalyx,train,1280,1024,26.711809098549313,Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.6/3282.Eucalyptus cladocalyx.6 (140).png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.6/3282.Eucalyptus cladocalyx.6 (140).png
IC4SD_EUC_000321,Eucalyptus cladocalyx,val,1280,1024,55.8806793249001,Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.10/3282.Eucalyptus cladocalyx.10 (225).png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.10/3282.Eucalyptus cladocalyx.10 (225).png
IC4SD_EUC_002149,Eucalyptus saligna,train,1280,1024,58.232549765139865,Eucalyptus_saligna/3293.Eucalyptus saligna.10/3293.Eucalyptus saligna.10  (270).png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_saligna/3293.Eucalyptus saligna.10/3293.Eucalyptus saligna.10  (270).png
IC4SD_EUC_001325,Eucalyptus grandis,train,1280,1024,65.94892184422025,Eucalyptus_grandis/3284.Eucalyptus grandis.1/3284.Eucalyptus grandis.1 (19).png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_grandis/3284.Eucalyptus grandis.1/3284.Eucalyptus grandis.1 (19).png
IC4SD_EUC_001785,Eucalyptus microcorys,train,1280,1024,68.95158381300874,Eucalyptus_microcorys/3283.Eucalyptus_microcorys.11/Eucalyptus_microcorys.11.indoor.15.png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_microcorys/3283.Eucalyptus_microcorys.11/Eucalyptus_microcorys.11.indoor.15.png
IC4SD_EUC_001551,Eucalyptus grandis,test,1280,1024,71.04585543786698,Eucalyptus_grandis/3284.Eucalyptus grandis.3/3284.Eucalyptus grandis.3. (84).png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_grandis/3284.Eucalyptus grandis.3/3284.Eucalyptus grandis.3. (84).png
IC4SD_EUC_000558,Eucalyptus cladocalyx,train,1280,1024,72.16892366634752,Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.6/3282.Eucalyptus cladocalyx.6 (139).png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.6/3282.Eucalyptus cladocalyx.6 (139).png
IC4SD_EUC_001315,Eucalyptus grandis,train,1280,1024,73.39369048701549,Eucalyptus_grandis/3284.Eucalyptus grandis.1/3284.Eucalyptus grandis.1 (1).png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_grandis/3284.Eucalyptus grandis.1/3284.Eucalyptus grandis.1 (1).png
IC4SD_EUC_000561,Eucalyptus cladocalyx,train,1280,1024,74.25879010563126,Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.6/3282.Eucalyptus cladocalyx.6 (142).png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.6/3282.Eucalyptus cladocalyx.6 (142).png
IC4SD_EUC_001390,Eucalyptus grandis,train,1280,1024,74.86172598788534,Eucalyptus_grandis/3284.Eucalyptus grandis.11/Eucalyptus grandis.11.indoor.27.png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_grandis/3284.Eucalyptus grandis.11/Eucalyptus grandis.11.indoor.27.png
IC4SD_EUC_002148,Eucalyptus saligna,train,1280,1024,75.1952886381021,Eucalyptus_saligna/3293.Eucalyptus saligna.10/3293.Eucalyptus saligna.10  (269).png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_saligna/3293.Eucalyptus saligna.10/3293.Eucalyptus saligna.10  (269).png
IC4SD_EUC_001829,Eucalyptus microcorys,train,1280,1024,76.03027289272951,Eucalyptus_microcorys/3283.Eucalyptus_microcorys.11/Eucalyptus_microcorys.11.outdoor.1.png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_microcorys/3283.Eucalyptus_microcorys.11/Eucalyptus_microcorys.11.outdoor.1.png
IC4SD_EUC_000448,Eucalyptus cladocalyx,train,1280,1024,79.7531187782742,Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.2/3282.Eucalyptus cladocalyx.2 (29).png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.2/3282.Eucalyptus cladocalyx.2 (29).png
IC4SD_EUC_001540,Eucalyptus grandis,test,1280,1024,79.90792052947758,Eucalyptus_grandis/3284.Eucalyptus grandis.3/3284.Eucalyptus grandis.3. (73).png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_grandis/3284.Eucalyptus grandis.3/3284.Eucalyptus grandis.3. (73).png
IC4SD_EUC_001820,Eucalyptus microcorys,train,1280,1024,80.02963071622412,Eucalyptus_microcorys/3283.Eucalyptus_microcorys.11/Eucalyptus_microcorys.11.indoor.47.png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_microcorys/3283.Eucalyptus_microcorys.11/Eucalyptus_microcorys.11.indoor.47.png
IC4SD_EUC_000553,Eucalyptus cladocalyx,train,1280,1024,80.20743126793924,Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.6/3282.Eucalyptus cladocalyx.6 (134).png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.6/3282.Eucalyptus cladocalyx.6 (134).png
IC4SD_EUC_001494,Eucalyptus grandis,train,1280,1024,83.57633878398761,Eucalyptus_grandis/3284.Eucalyptus grandis.12/Eucalyptus grandis.3284.12.8.png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_grandis/3284.Eucalyptus grandis.12/Eucalyptus grandis.3284.12.8.png
IC4SD_EUC_000394,Eucalyptus cladocalyx,train,1280,1024,86.47473654892691,Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.11/Eucalyptus cladocalyx.3282.outdoor.11.12.png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_cladocalyx/3282.Eucalyptus cladocalyx.11/Eucalyptus cladocalyx.3282.outdoor.11.12.png
IC4SD_EUC_001804,Eucalyptus microcorys,train,1280,1024,87.54023444228174,Eucalyptus_microcorys/3283.Eucalyptus_microcorys.11/Eucalyptus_microcorys.11.indoor.32.png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_microcorys/3283.Eucalyptus_microcorys.11/Eucalyptus_microcorys.11.indoor.32.png
IC4SD_EUC_001850,Eucalyptus microcorys,train,1280,1024,90.17799071164912,Eucalyptus_microcorys/3283.Eucalyptus_microcorys.11/Eucalyptus_microcorys.11.outdoor.29.png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_microcorys/3283.Eucalyptus_microcorys.11/Eucalyptus_microcorys.11.outdoor.29.png
IC4SD_EUC_001784,Eucalyptus microcorys,train,1280,1024,90.79850278856011,Eucalyptus_microcorys/3283.Eucalyptus_microcorys.11/Eucalyptus_microcorys.11.indoor.14.png,/Volumes/Data/data/eucalyptus_raw/public_dib_code/dataset/IC4SD-Wood-Eucalyptus/raw/Eucalyptus_microcorys/3283.Eucalyptus_microcorys.11/Eucalyptus_microcorys.11.indoor.14.png
